\fixlen = T
|set|HJD             |Relative_Flux|
|int|double          |double       |
 0   2454280.74131060 1.0010201     
 0   2454280.74162780 0.99904923    
 0   2454280.74194590 0.99944847    
 0   2454280.74226390 0.99808935    
 0   2454280.74258160 1.0004656     
 0   2454280.74289610 1.0011829     
 0   2454280.74321310 0.99973189    
 0   2454280.74353130 0.99895252    
 0   2454280.74385000 1.0005784     
 0   2454280.74416460 0.99913233    
 0   2454280.74448160 1.0011506     
 0   2454280.74479900 1.0000582     
 0   2454280.74511730 1.0007487     
 0   2454280.74543630 1.0001165     
 0   2454280.74575030 0.99887487    
 0   2454280.74606750 0.99920337    
 0   2454280.74638490 0.99981658    
 0   2454280.74670270 0.99876323    
 0   2454280.74702100 1.0005778     
 0   2454280.74733860 0.99959873    
 0   2454280.74765290 0.99960654    
 0   2454280.74797030 0.99919975    
 0   2454280.74828760 1.0001480     
 0   2454280.74860560 1.0003801     
 0   2454280.74892360 0.99970736    
 0   2454280.74924040 0.99968185    
 0   2454280.74955750 0.99976295    
 0   2454280.74987530 0.99973654    
 0   2454280.75019240 0.99930159    
 0   2454280.75050710 1.0012527     
 0   2454280.75082430 1.0010996     
 0   2454280.75114170 0.99894070    
 0   2454280.75145980 0.99969722    
 0   2454280.75177820 0.99906813    
 0   2454280.75209290 1.0003288     
 0   2454280.75241000 1.0001144     
 0   2454280.75272810 1.0001796     
 0   2454280.75304540 0.99932620    
 0   2454280.75336390 0.99928776    
 0   2454280.75367850 0.99957519    
 0   2454280.75399560 0.99946270    
 0   2454280.75431290 1.0002378     
 0   2454280.75463080 1.0011765     
 0   2454280.75494950 0.99989103    
 0   2454280.75526420 1.0000161     
 0   2454280.75558150 0.99986796    
 0   2454280.75589870 1.0011207     
 0   2454280.75621640 0.99985140    
 0   2454280.75653400 0.99992133    
 0   2454280.75685180 1.0005391     
 0   2454280.75716840 1.0015446     
 0   2454280.75748560 0.99933628    
 0   2454280.75780350 1.0004865     
 0   2454280.75812080 0.99926040    
 0   2454280.75843540 0.99901940    
 0   2454280.75875250 1.0006380     
 0   2454280.75906990 0.99966129    
 0   2454280.75938770 1.0000702     
 0   2454280.75970610 0.99951934    
 0   2454280.76002390 1.0012199     
 0   2454280.76033820 1.0006433     
 0   2454280.76065550 1.0006597     
 0   2454280.76097340 1.0007922     
 0   2454280.76129110 1.0000229     
 0   2454280.76160910 0.99952391    
 0   2454280.76192380 0.99936743    
 0   2454280.76224140 0.99971232    
 0   2454280.76255920 0.99914920    
 0   2454280.76287750 0.99904577    
