\fixlen = T
|set|BJD          |Normalized_Flux|
|int|double       |double         |
 0   2453877.99982 1.000062        
 0   2453878.00052 1.000050        
 0   2453878.00121 .999995         
 0   2453878.00191 .999966         
 0   2453878.00260 1.000051        
 0   2453878.00329 .999912         
 0   2453878.00399 1.000065        
 0   2453878.00468 .999982         
 0   2453878.00538 .999912         
 0   2453878.00607 1.000005        
 0   2453878.00677 .999959         
 0   2453878.00746 .999916         
 0   2453878.00816 .999974         
 0   2453878.00885 .999892         
 0   2453878.00954 1.000015        
 0   2453878.01024 .999991         
 0   2453878.01093 .999993         
 0   2453878.01163 1.000037        
 0   2453878.01232 .999997         
 0   2453882.11510 .999846         
 0   2453882.11580 .999912         
 0   2453882.11649 .999924         
 0   2453882.11719 .999953         
 0   2453882.11788 .999894         
 0   2453882.11858 .999878         
 0   2453882.11927 .999939         
 0   2453882.11997 .999957         
 0   2453882.12066 1.000008        
 0   2453882.12135 .999958         
 0   2453882.12205 .999991         
 0   2453882.12274 .999994         
 0   2453882.12344 1.000043        
 0   2453882.12413 1.000049        
 0   2453882.12483 .999920         
 0   2453882.12552 .999927         
 0   2453882.12622 .999921         
 0   2453882.12691 .999843         
 0   2453882.12760 .999979         
 0   2453882.12830 .999983         
 0   2453882.12899 .999894         
 0   2453882.12969 1.000075        
 0   2453882.13038 1.000031        
 0   2453882.13108 1.000000        
 0   2453882.13177 .999960         
 0   2453882.13247 .999914         
 0   2453882.13316 .999910         
 0   2453882.13386 .999880         
 0   2453882.13455 1.000011        
 0   2453882.13524 1.000010        
 0   2453882.13594 .999921         
 0   2453882.13663 .999878         
 0   2453882.13733 .999992         
 0   2453882.13802 .999899         
 0   2453882.13872 .999942         
 0   2453882.13941 .999943         
 0   2453882.14011 1.000056        
 0   2453882.14080 .999967         
 0   2453882.14149 .999899         
 0   2453882.14219 .999899         
 0   2453882.14288 .999921         
 0   2453882.14358 .999981         
 0   2453882.17837 1.000063        
 0   2453882.17907 1.000003        
 0   2453882.17976 1.000061        
 0   2453882.18046 1.000089        
 0   2453882.18115 1.000005        
 0   2453882.18184 1.000063        
 0   2453882.18254 .999995         
 0   2453882.18323 .999957         
 0   2453882.18393 1.000021        
 0   2453882.18462 .999959         
 0   2453882.18532 .999907         
 0   2453882.18601 .999972         
 0   2453882.18671 .999948         
 0   2453882.18740 .999951         
 0   2453882.18809 1.000054        
 0   2453882.18879 1.000051        
 0   2453882.18948 .999923         
 0   2453882.19018 1.000073        
 0   2453882.19087 .999940         
 0   2453882.19157 1.000040        
 0   2453882.19226 .999800         
 0   2453882.19296 1.000014        
 0   2453882.19365 1.000100        
 0   2453882.19435 .999985         
 0   2453882.19504 1.000024        
 0   2453882.19573 .999958         
 0   2453882.19643 .999995         
 0   2453882.19712 .999929         
 0   2453882.19782 .999952         
 0   2453882.19851 .999913         
 0   2453882.19921 .999984         
 0   2453882.19990 .999935         
 0   2453882.20060 1.000054        
 0   2453882.20129 1.000050        
 0   2453882.20198 .999942         
 0   2453882.20268 1.000008        
 0   2453882.20337 1.000024        
 0   2453882.20407 1.000011        
 0   2453882.20476 .999999         
 0   2453882.20546 .999978         
 0   2453882.20615 .999956         
 0   2453882.20685 1.000100        
 0   2453882.20754 1.000005        
 0   2453882.20824 .999966         
 0   2453882.20893 1.000091        
 0   2453882.20962 1.000123        
 0   2453882.24499 .999985         
 0   2453882.24568 .999996         
 0   2453882.24637 .999951         
 0   2453882.24707 .999944         
 0   2453882.24776 .999932         
 0   2453882.24846 1.000004        
 0   2453882.24915 .999960         
 0   2453882.24985 1.000030        
 0   2453882.25054 1.000067        
 0   2453882.25124 .999997         
 0   2453882.25193 1.000040        
 0   2453882.25262 1.000105        
 0   2453882.25332 1.000033        
 0   2453882.25401 1.000000        
 0   2453882.25471 .999917         
 0   2453882.25540 1.000009        
 0   2453882.25610 .999968         
 0   2453882.25679 .999993         
 0   2453882.25749 .999962         
 0   2453882.25818 .999884         
 0   2453882.25888 .999886         
 0   2453882.25957 1.000029        
 0   2453882.26026 .999951         
 0   2453882.26096 1.000113        
 0   2453882.26165 1.000008        
 0   2453882.26235 1.000005        
 0   2453882.26304 1.000061        
 0   2453882.26374 .999987         
 0   2453882.26443 1.000026        
 0   2453882.26513 1.000038        
 0   2453882.26582 1.000005        
 0   2453882.26651 1.000016        
 0   2453882.26721 1.000030        
 0   2453882.26790 1.000032        
 0   2453882.26860 1.000034        
 0   2453882.26929 1.000008        
 0   2453882.26999 .999947         
 0   2453882.27068 .999927         
 0   2453882.27138 1.000006        
 0   2453882.27207 1.000160        
 0   2453882.27277 .999994         
 0   2453882.27346 .999968         
 0   2453882.27415 .999990         
 0   2453882.27485 .999782         
 0   2453882.27554 .999306         
 0   2453882.27624 .998806         
 0   2453882.31159 .974564         
 0   2453882.31228 .974433         
 0   2453882.31298 .974369         
 0   2453882.31367 .974521         
 0   2453882.31437 .974591         
 0   2453882.31506 .974503         
 0   2453882.31575 .974516         
